genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [1], [0, 0], [1, 3, 0, 3], [1, 1, 2, 2], [0, 0, 0, 3, 3, 0, 3], [1, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]",0.6992193746931524,"[1, 1, 2, 4, 4, 7, 8, 6]",7,(((Constant+x[0])+(x[0]+x[0]))/x[0]/x[0]+Constant/x[1]),(((0.17601308877575284+x[0])+(x[0]+x[0]))/x[0]/x[0]+0.14273417156141588/x[1]),0.8063799935591279,{'errortest': 0.8841060845390485}
"[[0], [0], [2, 0], [1, 3, 0], [0, 1, 2, 2, 1], [0, 0, 0, 3, 3, 0, 3], [1, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0]]",0.7102244766364972,"[1, 1, 2, 3, 4, 6, 7, 5]",7,((Constant+x[0]+(x[0]+x[0]))**Constant)/x[0]/x[0]+Constant,((0.3036209459992468+x[0]+(x[0]+x[0]))**0.8114904563995643)/x[0]/x[0]+0.5534536361959038,0.7924933969651624,{'errortest': 0.8779261300354366}
"[[0], [0], [2, 0], [1, 3, 2, 1], [0, 0, 1, 2], [0, 3, 0, 3, 3, 0, 3], [1, 0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0]]",0.7743494766274984,"[1, 1, 2, 3, 3, 6, 7, 4]",7,((Constant+x[0]/Constant+x[0])**Constant)/x[0]/((x[0]+Constant)**Constant),((0.5663430758158775+x[0]/0.37267497313020914+x[0])**0.7800733649593694)/x[0]/((x[0]+0.0648489479263531)**0.8360430467118649),0.9028772682627904,{'errortest': 0.9656732370669017}
"[[0], [1], [2, 0], [2, 2, 2], [1, 0, 0, 0, 1], [3, 3, 3, 3, 2, 0, 2, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 0, 0, 0, 1]]",0.8327700182546955,"[1, 1, 2, 3, 3, 5, 6, 3]",7,((((x[0]/Constant)**Constant)**Constant)/(x[0]/Constant**Constant)/(x[0]*Constant**Constant)),((((x[0]/0.5987608455739839)**0.7631730835401149)**0.8937964237319519)/(x[0]/0.934915762653256**0.7806269043320231)/(x[0]*0.15248961005211548**0.3831846439891483)),0.9383569448280691,{'errortest': 0.9869249073174905}
"[[0], [0], [2, 3], [2], [0, 2], [0, 3, 0, 1, 3, 0, 3], [0, 0, 0, 0, 1], [1, 1, 0]]",0.8394181386386154,"[1, 1, 2, 1, 1, 2, 3, 3]",7,((x[1]+x[1]**Constant)**Constant)/x[0],((x[1]+x[1]**0.3693766548651588)**0.14654552665201248)/x[0],0.8975447119827616,{'errortest': 1.0109656222515273}
"[[0], [1], [2, 0], [2, 2, 0], [0, 1, 2, 2], [0, 0, 0, 3, 3, 0, 3], [1, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0]]",0.8452638808127433,"[1, 1, 2, 3, 4, 5, 6, 4]",7,(((Constant+x[0]**Constant)**Constant)+((x[0]+Constant)**Constant)/x[0]/x[0]),(((0.7503807946280829+x[0]**0.6690282669608961)**0.926224773467969)+((x[0]+0.9435239396529014)**0.8687180621588327)/x[0]/x[0]),0.9201499335005464,{'errortest': 1.0148899686339048}
"[[0], [0], [2, 0], [1, 3, 0], [0, 1, 2, 2, 1], [0, 0, 0, 3, 3, 0, 3], [1, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0]]",0.8490947334979956,"[1, 1, 2, 3, 4, 6, 7, 5]",7,((Constant+x[0]+(x[0]+x[0]))**Constant)/x[0]/x[0]+Constant,((0.8302738175501626+x[0]+(x[0]+x[0]))**0.6597086564094847)/x[0]/x[0]+0.5817328660620948,0.8933137656929503,{'errortest': 0.9923905091728727}
"[[0], [0], [2, 0], [1, 3, 0], [0, 1, 2, 2, 1], [0, 0, 0, 3, 3, 0, 3], [0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0]]",0.8839674904029877,"[1, 1, 2, 3, 4, 6, 7, 5]",7,((x[0]+x[0]+(x[0]+Constant))**Constant)/x[0]/x[0]+Constant,((x[0]+x[0]+(x[0]+0.8219853252997219))**0.6763360343529937)/x[0]/x[0]+0.8276408990284783,0.881688642896125,{'errortest': 1.0054314967773568}
"[[0], [0], [2, 0], [1, 3, 0], [0, 1, 2, 0, 1], [0, 0, 2, 3, 3, 0, 3], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0]]",0.8879460838625512,"[1, 1, 2, 3, 4, 7, 8, 7]",7,((x[0]+x[0]+(x[0]*x[0]))**Constant)/x[0]/x[0]+Constant/x[0],((x[0]+x[0]+(x[0]*x[0]))**0.5880833473386865)/x[0]/x[0]+0.8086526600792506/x[0],1.0211582682292915,{'errortest': 1.073122994161856}
"[[0], [0], [2, 0], [2, 0, 0], [0, 1, 2, 2, 1], [0, 0, 0, 3, 3, 0, 3], [1, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0]]",0.8982787765763018,"[1, 1, 2, 3, 5, 7, 8, 5]",7,((Constant+x[0]**Constant)**Constant)+(x[0]+Constant)/x[0]/x[0]+(Constant/x[0]),((0.3681732910576132+x[0]**0.8881970530311637)**0.9052942787555824)+(x[0]+0.9842018594967706)/x[0]/x[0]+(0.2295561298938218/x[0]),0.9383143975832229,{'errortest': 1.043676575676106}
