genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [2, 2], [1, 2], [3, 3], [0, 0, 0], [0, 0, 0]]",2.7353200427313475,6,((x[0]/x[0])**Constant)/(x[0]**Constant) * (x[1]**Constant) * (x[2]),((x[0]/x[0])**0.5538659520051368)/(x[0]**0.2839323183005724) * (x[1]**0.5426013162321813) * (x[2]),2.0318116779172044,{'errortest': 2.22577600328653},"[1, 1, 2, 2, 2, 3, 3]"
"[[0], [3], [3], [], [], [1, 1, 0], [0]]",4.261851581383639,3,Constant * (x[1]**Constant) * (x[2]),0.18327102019809371 * (x[1]**0.7773109852262793) * (x[2]),4.5463089022182555,{'errortest': 4.247965061442876},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [3], [1], [3], [1, 1, 0], []]",4.358045465684794,3,Constant * (x[1]**Constant) * (x[2]),0.17575125944040593 * (x[1]**0.7839346986575781) * (x[2]),4.6287585975729435,{'errortest': 4.28019666652707},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [1], [], [1, 1, 0], []]",4.365884788517537,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.47319765204809117**0.4457698183506309) * (x[1]**0.5800992644585716) * (x[2]),5.071813504036274,{'errortest': 5.793358804334304},"[1, 1, 1, 0, 0, 1, 0]"
"[[0], [3], [3], [1], [], [1, 1, 0], []]",4.473160690251943,3,Constant * (x[1]**Constant) * (x[2]),0.13655052718335847 * (x[1]**0.8092698572968401) * (x[2]),4.909126513899663,{'errortest': 4.912918445472846},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2], [1], [3], [1, 1, 0], []]",4.487822328158056,5,(((Constant/Constant)**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.11664291750432887/0.43917131286568967)**0.7775148540754405)**0.5043897735931058) * (x[1]**0.6233796952612576) * (x[2]),4.351101836724588,{'errortest': 4.036963633646932},"[1, 1, 1, 1, 1, 2, 0]"
"[[0], [3], [3], [1], [], [1, 1, 0], []]",5.316489449813033,3,Constant * (x[1]**Constant) * (x[2]),0.893751241520065 * (x[1]**0.5723442184088392) * (x[2]),4.8908218707996935,{'errortest': 4.465221792040759},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3, 2], [1], [0, 0], [1, 1, 0], [0]]",5.893923773970653,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.059320103616825604**0.7629661200998277) * (x[1]**0.8207609672503606) * (x[2]),6.52686279159924,{'errortest': 6.860513955313194},"[1, 1, 1, 0, 0, 1, 0]"
"[[0], [2], [2, 1], [1], [3, 3, 3, 2], [1, 0, 0, 0, 1], [0]]",6.223029198895958,6,(((Constant/x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.02837946482347342/x[0])**0.025028373160516648)**0.6278500014217445) * (x[1]**0.5307596767645855) * (x[2]),7.313388756375947,{'errortest': 8.260140556156882},"[1, 1, 1, 1, 1, 2, 1]"
"[[0], [0], [2, 2], [0, 1], [0, 0, 2], [1, 1, 1, 1], [0, 0, 0]]",6.304133184483344,5,(Constant+Constant**Constant)+((Constant*Constant)**Constant) * (x[1]**Constant) * (x[2]),(0.3559918965190234+0.321757386484834**0.9900791414458346)+((0.47913730971822677*0.21709648487807065)**0.6436149193607136) * (x[1]**0.7193125264353697) * (x[2]),7.206901498446021,{'errortest': 7.848443017176149},"[1, 1, 2, 2, 3, 4, 0]"
"[[0], [3], [2, 2], [0, 1], [3], [1, 1, 0], [0, 0, 0]]",6.4307300075754785,3,Constant * (x[1]**Constant) * (x[2]),0.6672911778846116 * (x[1]**0.5779832540178744) * (x[2]),7.505470051591878,{'errortest': 8.410158081714233},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [3], [], [], [1, 1, 0], [0]]",7.862228907721308,3,Constant * (x[1]**Constant) * (x[2]),0.2240227026224091 * (x[1]**0.7195377513611135) * (x[2]),8.875506788367511,{'errortest': 9.59305549375329},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2, 2], [1], [3, 0, 1], [1, 0, 1, 0], [0, 0]]",9.756938815049926,6,(((Constant/x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.6752917237687053/x[0])**0.7397038864391219)**0.44596889236842296) * (x[1]**0.5816870129199354) * (x[2]),9.799756279519814,{'errortest': 10.816574518762186},"[1, 1, 1, 1, 1, 2, 1]"
"[[0], [0], [1, 3], [0, 1], [3, 3, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 0]]",20.80935043667656,6,(x[0]/x[0]/(x[0]+Constant))+x[0] * (x[1]**Constant) * (x[2]),(x[0]/x[0]/(x[0]+0.06731030503394575))+x[0] * (x[1]**0.5851451433299717) * (x[2]),21.062460812421488,{'errortest': 18.993282869056486},"[1, 1, 2, 2, 4, 5, 4]"
"[[0], [0], [2, 1], [0, 1, 2], [0, 0, 2, 3], [1, 1, 1, 1, 0], [0, 0, 0]]",20.88261787424272,6,(Constant+Constant**Constant)+((Constant*Constant)/x[0]) * (x[1]**Constant) * (x[2]),(0.6664702207415919+0.3816138836097148**0.10098100588768588)+((0.8354258703795329*0.4010846170650091)/x[0]) * (x[1]**0.5337348744009912) * (x[2]),22.6940060741995,{'errortest': 22.19526935172321},"[1, 1, 2, 3, 4, 5, 1]"
