genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [2, 2], [1, 2], [3, 3], [0, 0, 0], [0, 0, 0]]",2.7353200427313475,6,((x[0]/x[0])**Constant)/(x[0]**Constant) * (x[1]**Constant) * (x[2]),((x[0]/x[0])**0.5538659520051368)/(x[0]**0.2839323183005724) * (x[1]**0.5426013162321813) * (x[2]),2.0318116779172044,{'errortest': 2.22577600328653},"[1, 1, 2, 2, 2, 3, 3]"
"[[0], [2], [0], [2, 1], [0, 3], [1, 1, 0], [0]]",15.756920199218394,6,(Constant+(Constant/x[0])**Constant) * (x[1]**Constant) * (x[2]),(0.16801776554955017+(0.5666128993455207/x[0])**0.7429972089342752) * (x[1]**0.4766713751982843) * (x[2]),17.29529299030586,{'errortest': 16.93817902406717},"[1, 1, 1, 2, 2, 3, 1]"
"[[0], [3], [], [], [], [0], [0]]",16.48065779441314,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5174671485227612) * (x[2]),18.594439038901708,{'errortest': 21.377016529435668},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [2, 1], [0, 1, 0], [0, 2, 3, 3, 2], [1, 0, 1, 1, 1, 0], [0, 0]]",17.366158194120096,6,((Constant+x[0]**Constant)*((Constant/Constant)/Constant*x[0])) * (x[1]**Constant) * (x[2]),((0.5549189461957975+x[0]**0.14869890044891698)*((0.9267656499100079/0.4390377742787065)/0.9679718667266717*x[0])) * (x[1]**0.3495286255316977) * (x[2]),19.484752311064156,{'errortest': 22.602744128254283},"[1, 1, 2, 3, 5, 6, 2]"
"[[0], [3], [], [], [], [0], [0]]",18.267223826158297,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5726941334503829) * (x[2]),18.91330477590945,{'errortest': 18.404723291243478},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [1], []]",20.503801802957003,3,Constant * (x[1]**Constant) * (x[2]),0.21315019290810966 * (x[1]**0.811643590527779) * (x[2]),21.798810738857934,{'errortest': 21.582300863056172},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [2, 1], [2, 1, 2], [2, 2, 2], [0, 1, 0, 1], [0, 0]]",21.833220844487318,6,(x[0]**Constant)*((Constant*x[0])*Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.6195477632055612)*((0.8847837269136104*x[0])*0.7044984922105417) * (x[1]**0.6147440517625626) * (x[2]),23.934280643481667,{'errortest': 25.235931118378826},"[1, 1, 2, 3, 3, 4, 2]"
"[[0], [1], [3, 0], [1, 1], [2, 1, 0, 2], [0, 1, 0, 1, 0], [0, 0, 0]]",21.994654000266237,6,(x[0]*(Constant-x[0])+(Constant*x[0])) * (x[1]**Constant) * (x[2]),(x[0]*(0.8521424712477378-x[0])+(0.8771654586145723*x[0])) * (x[1]**0.4854416740019222) * (x[2]),24.1887062626069,{'errortest': 25.3932741864709},"[1, 1, 2, 2, 4, 5, 3]"
"[[0], [3], [], [], [], [0], [0]]",22.210500078915587,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5911681145538676) * (x[2]),22.535763104316466,{'errortest': 20.147989189086868},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2], [0], [0], [1, 1], []]",23.38601329572213,5,((Constant+Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.3925753614871883+0.7565081948927002**0.7616790041411318)**0.5312863549282533) * (x[1]**0.3996951108405775) * (x[2]),25.84088431799788,{'errortest': 27.219722183570667},"[1, 1, 1, 1, 1, 2, 0]"
