genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [2, 2], [3, 2], [1, 2, 2, 0], [0, 3, 2, 0, 1, 3], [1, 1, 0, 1], [0]]",0.1817672628674545,"[1, 1, 2, 2, 1, 2, 3, 1]",7,(Constant**Constant)+(((Constant/x[0])**Constant)**Constant),(0.8506715070592429**0.2088108307980021)+(((0.478985661185212/x[0])**0.6779180495918296)**0.40882343177706404),0.17581107132814278,{'errortest': 0.22389049766997748}
"[[0], [1], [0, 3], [3, 2], [2, 1], [3, 1, 3], [1, 1, 0, 0], [0, 0, 0]]",0.18790593683275741,"[1, 1, 2, 2, 1, 2, 3, 1]",6,(Constant/(Constant**Constant)-x[0]),(0.680797072885513/(0.2485868263900397**0.9914393502553926)-x[0]),0.19025416869613232,{'errortest': 0.19780085044587437}
"[[0], [0], [2, 2], [3, 2], [1, 2, 2, 0], [0, 3, 2, 0, 1, 3], [1, 1, 0, 0], [0]]",0.2123553763874886,"[1, 1, 2, 2, 1, 2, 3, 1]",7,(Constant**Constant)+(((Constant/x[0])**Constant)**Constant),(0.5631374522766586**0.3827351908000617)+(((0.9878449415405707/x[0])**0.9442547908678005)**0.9489401962404662),0.20905085986194596,{'errortest': 0.20264896438811503}
"[[0], [0], [3, 2], [2, 3], [1, 0], [0, 0, 2, 2], [1, 1, 1, 0], [0, 1, 1]]",0.249055248140958,"[1, 1, 2, 1, 1, 2, 3, 0]",6,Constant+(((Constant+Constant)**Constant)**Constant),0.8477648572684322+(((0.7652764117396624+0.1159232636706995)**0.7930144501249455)**0.25096878316221083),0.24297631422334812,{'errortest': 0.2915951930827676}
"[[0], [0], [2, 2], [3, 2, 2], [2, 2], [0, 2], [1, 1, 1, 0], [0, 0]]",0.2490637955365695,"[1, 1, 2, 2, 1, 1, 2, 0]",6,(Constant**Constant)+((Constant**Constant)**Constant),(0.9005790750555929**0.9582665368725708)+((0.7403416640742089**0.9735223367503618)**0.28148883385645496),0.24328309375928694,{'errortest': 0.2914516459856445}
"[[0], [0], [2, 2], [2, 2], [2, 1, 2, 0], [0, 3, 2, 0, 1, 3], [1, 1, 1, 0], [0, 1, 1]]",0.24907345555417917,"[1, 1, 2, 2, 2, 2, 3, 0]",6,((Constant**Constant)**Constant)+(((Constant/Constant)**Constant)**Constant),((0.743771095275498**0.9495923131981644)**0.8997413653075438)+(((0.4558987554289824/0.18356718421295415)**0.3297917446022176)**0.14275856677420917),0.24268633981327925,{'errortest': 0.291766692001041}
"[[0], [0], [2, 2], [3, 2, 2], [0, 0], [3, 2], [1, 1, 1, 0], [0, 1, 1]]",0.249092421826177,"[1, 1, 2, 2, 1, 2, 3, 0]",6,(Constant**Constant)/((Constant*Constant**Constant)**Constant),(0.7158869437873235**0.5621741962128494)/((0.4889703677582189*0.3903415903274282**0.48870546002074355)**0.6689858282640562),0.24255440690017632,{'errortest': 0.29185928037532344}
"[[0], [0], [2, 2], [3, 2, 2], [2, 2], [0, 2], [1, 1, 1, 0], [0, 0]]",0.24910133704234635,"[1, 1, 2, 2, 1, 1, 2, 0]",6,(Constant**Constant)+((Constant**Constant)**Constant),(0.30164180781328365**0.000262581132819073)+((0.14066948835764537**0.6890302043382743)**0.14789627747969447),0.2425061535336735,{'errortest': 0.29189584104291205}
"[[0], [0], [2, 1], [3, 3, 3], [2, 2], [0, 3, 2, 0, 1, 3], [1, 1, 1, 1, 1, 1], [0]]",0.24912824103651346,"[1, 1, 2, 3, 0, 2, 3, 0]",5,(Constant**Constant)+(Constant/Constant),(0.6753997860352101**0.9440427262635978)+(0.548679948451894/0.48689695087144613),0.24238795469222643,{'errortest': 0.2919923054266914}
"[[0], [0], [2, 2], [3, 1, 2], [2, 2], [0, 2], [1, 1, 1, 0], [0, 0]]",0.24924353470205712,"[1, 1, 2, 2, 2, 2, 3, 0]",6,(Constant**Constant)+((Constant*Constant)**Constant),(0.5018576424761353**0.08041996360950976)+((0.0693600682544977*0.9685852312827898)**0.05260634278454801),0.24207502989762963,{'errortest': 0.29230779514159394}
"[[0], [0], [2, 2], [3, 3, 2], [2], [0, 3, 2, 0, 1, 3], [1, 1, 1, 0], [1, 0]]",0.24931282846278852,"[1, 1, 2, 2, 0, 1, 2, 0]",5,(Constant**Constant)+(Constant**Constant),(0.300864967823646**0.14377937245347494)+(0.9596554855751376**0.16387867843046866),0.2446210737360574,{'errortest': 0.29111389784107206}
"[[0], [0], [2, 2], [3, 3, 2], [2, 0, 2, 0], [0, 3, 3, 0, 1, 3], [1, 1, 1, 0], [0, 1, 1]]",0.25291058434055147,"[1, 1, 2, 2, 0, 1, 2, 0]",5,(Constant**Constant)+(Constant**Constant),(0.9918725965584991**0.2674624676313495)+(0.4311947756933686**0.1662275907896973),0.2520249072128236,{'errortest': 0.29226549688595743}
"[[0], [0], [3, 2], [3, 2, 2], [2, 1, 2, 0], [0, 3, 2, 0, 1, 3], [1, 1, 1, 0], [0, 0, 0, 0]]",0.2571825370393611,"[1, 1, 2, 1, 0, 1, 2, 0]",5,Constant+(Constant**Constant),0.9221564785738805+(0.9564800068295072**0.7932322658606882),0.258553115247426,{'errortest': 0.29478431704229324}
"[[0], [0], [2, 2], [1, 2], [1, 2, 2, 0], [0, 2, 0], [1, 1, 1, 1], [0]]",0.2651199391629162,"[1, 1, 2, 2, 3, 3, 4, 0]",6,(((Constant+Constant)*Constant)**Constant)+((Constant**Constant)**Constant),(((0.649662056799993+0.6848260287667465)*0.7294742761213453)**0.38768354260477844)+((0.8010183835013797**0.6153714735135709)**0.5742830541344994),0.26930825619982096,{'errortest': 0.30018998592353285}
