genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [2, 2], [3, 2], [1, 2, 2, 0], [0, 3, 2, 0, 1, 3], [1, 1, 0, 1], [0]]",0.1817672628674545,"[1, 1, 2, 2, 1, 2, 3, 1]",7,(Constant**Constant)+(((Constant/x[0])**Constant)**Constant),(0.8506715070592429**0.2088108307980021)+(((0.478985661185212/x[0])**0.6779180495918296)**0.40882343177706404),0.17581107132814278,{'errortest': 0.22389049766997748}
"[[0], [1], [0, 3], [3, 2], [2, 1], [3, 1, 3], [1, 1, 0, 0], [0, 0, 0]]",0.18790593683275741,"[1, 1, 2, 2, 1, 2, 3, 1]",6,(Constant/(Constant**Constant)-x[0]),(0.680797072885513/(0.2485868263900397**0.9914393502553926)-x[0]),0.19025416869613232,{'errortest': 0.19780085044587437}
"[[0], [0], [2, 2], [3, 2], [1, 2, 2, 0], [0, 3, 2, 0, 1, 3], [1, 1, 0, 0], [0]]",0.2123553763874886,"[1, 1, 2, 2, 1, 2, 3, 1]",7,(Constant**Constant)+(((Constant/x[0])**Constant)**Constant),(0.5631374522766586**0.3827351908000617)+(((0.9878449415405707/x[0])**0.9442547908678005)**0.9489401962404662),0.20905085986194596,{'errortest': 0.20264896438811503}
"[[0], [0], [2, 2], [3, 2, 2], [2, 2], [0, 2], [1, 1, 1, 0], [0, 0]]",0.2490637955365695,"[1, 1, 2, 2, 1, 1, 2, 0]",6,(Constant**Constant)+((Constant**Constant)**Constant),(0.9005790750555929**0.9582665368725708)+((0.7403416640742089**0.9735223367503618)**0.28148883385645496),0.24328309375928694,{'errortest': 0.2914516459856445}
"[[0], [0], [2, 2], [2, 2], [2, 1, 2, 0], [0, 3, 2, 0, 1, 3], [1, 1, 1, 0], [0, 1, 1]]",0.24907345555417917,"[1, 1, 2, 2, 2, 2, 3, 0]",6,((Constant**Constant)**Constant)+(((Constant/Constant)**Constant)**Constant),((0.743771095275498**0.9495923131981644)**0.8997413653075438)+(((0.4558987554289824/0.18356718421295415)**0.3297917446022176)**0.14275856677420917),0.24268633981327925,{'errortest': 0.291766692001041}
"[[0], [0], [2, 2], [3, 2, 2], [0, 0], [3, 2], [1, 1, 1, 0], [0, 1, 1]]",0.249092421826177,"[1, 1, 2, 2, 1, 2, 3, 0]",6,(Constant**Constant)/((Constant*Constant**Constant)**Constant),(0.7158869437873235**0.5621741962128494)/((0.4889703677582189*0.3903415903274282**0.48870546002074355)**0.6689858282640562),0.24255440690017632,{'errortest': 0.29185928037532344}
"[[0], [0], [2, 1], [3, 3, 3], [2, 2], [0, 3, 2, 0, 1, 3], [1, 1, 1, 1, 1, 1], [0]]",0.24912824103651346,"[1, 1, 2, 3, 0, 2, 3, 0]",5,(Constant**Constant)+(Constant/Constant),(0.6753997860352101**0.9440427262635978)+(0.548679948451894/0.48689695087144613),0.24238795469222643,{'errortest': 0.2919923054266914}
"[[0], [0], [2, 2], [3, 1, 2], [2, 2], [0, 2], [1, 1, 1, 0], [0, 0]]",0.24924353470205712,"[1, 1, 2, 2, 2, 2, 3, 0]",6,(Constant**Constant)+((Constant*Constant)**Constant),(0.5018576424761353**0.08041996360950976)+((0.0693600682544977*0.9685852312827898)**0.05260634278454801),0.24207502989762963,{'errortest': 0.29230779514159394}
"[[0], [0], [2, 2], [2, 3], [2], [0, 3], [1, 1, 1, 0], [0, 1, 1]]",0.2492955304346888,"[1, 1, 2, 2, 1, 1, 2, 0]",6,((Constant**Constant)**Constant)+(Constant**Constant),((0.49443863441554836**0.031440388594592306)**0.8192779199314999)+(0.6748063938143913**0.4064301579299714),0.24455813884240046,{'errortest': 0.2911221852402605}
"[[0], [0], [2, 2], [3, 2], [1, 2, 2], [0, 3, 2, 0, 1, 3], [1, 1, 1, 0], [0]]",0.2494767116721075,"[1, 1, 2, 2, 1, 2, 3, 0]",6,(Constant**Constant)+(((Constant/Constant)**Constant)**Constant),(0.634296045040435**0.9235890575633844)+(((0.5635362119662304/0.3588725786381626)**0.6681705145260795)**0.5519801536941149),0.2451578866967142,{'errortest': 0.29106543232134124}
"[[0], [0], [2, 2], [2, 3], [0, 0], [0, 3, 2, 0, 1, 3], [1, 1, 1, 0], [0, 1, 1]]",0.24952548733875285,"[1, 1, 2, 2, 1, 2, 3, 0]",6,((Constant+Constant**Constant)**Constant)/(Constant**Constant),((0.4622737153005556+0.7396719640174304**0.6334329920024508)**0.6218195868717213)/(0.11965501088597308**0.21263908914301066),0.24530282190948116,{'errortest': 0.2910585065856944}
"[[0], [0], [2, 2], [2, 3, 2], [1, 2, 2], [0, 0, 2, 2, 1], [1, 1, 1, 0], [0, 0, 0]]",0.26287700183025875,"[1, 1, 2, 2, 1, 2, 3, 0]",6,(((Constant+Constant)**Constant)**Constant)+(Constant**Constant),(((0.9407531092707884+0.9401735830610253)**0.4924503406199361)**0.8065111206958224)+(0.6153539229741759**0.9770505962325609),0.26637402122068815,{'errortest': 0.2986050502070436}
"[[0], [0], [2, 0], [3, 2, 3], [1, 2, 2], [0, 3, 2, 0, 1, 3], [1, 1, 1, 1], [0]]",0.27302981142044336,"[1, 1, 2, 3, 1, 3, 4, 0]",6,(Constant**Constant)+((Constant/Constant)**Constant)*Constant,(0.3918169631629622**0.027055446498529756)+((0.562426010157449/0.7246371600537841)**0.5504574601953173)*0.8467287975241603,0.25528635294872726,{'errortest': 0.31846277550003294}
