genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [3], [3], [], [], [1], []]",5.325536769770112,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.28671091791643166 * (x[1]**0.696637470501788) * (x[2]),6.0939238129441735,{'errortest': 5.776210920893473}
"[[0], [2], [3], [], [], [1], []]",5.563938452107375,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.523677225169913**0.5015958576861536) * (x[1]**0.5924063700513531) * (x[2]),6.068093122821193,{'errortest': 5.875575642902329}
"[[0], [2], [3], [], [], [1], []]",5.566328589032183,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.2743003723354126**0.045450558547125985) * (x[1]**0.5584605186268778) * (x[2]),6.340751568746803,{'errortest': 6.059422605923898}
"[[0], [0], [3, 2], [2, 0], [0, 2, 3, 2], [1, 1, 0, 0, 1], [0, 0]]",5.592248109602254,"[1, 1, 2, 1, 1, 2, 0]",5,Constant+(Constant**Constant) * (x[1]**Constant) * (x[2]),0.5550520326427354+(0.7894549145670929**0.5570245297307836) * (x[1]**0.5668681539649575) * (x[2]),6.293324353620099,{'errortest': 6.042704056651167}
"[[0], [2], [3, 2], [0, 0], [2, 0, 1], [1, 0, 1, 1], [0, 0]]",5.611987761540489,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.8245816081371311**0.6196771584932863) * (x[1]**0.5612380507082637) * (x[2]),6.8373199717739555,{'errortest': 6.3176965700487155}
"[[0], [2], [3], [], [], [1], []]",5.726646009829108,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.2804336546770063**0.6486382234458947) * (x[1]**0.6418983804882024) * (x[2]),7.062250974210561,{'errortest': 6.447476827948054}
"[[0], [2], [3], [], [], [1], [0]]",5.727157648684115,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.3227636392200731**0.06194611178713105) * (x[1]**0.5552027629945491) * (x[2]),6.954703419062203,{'errortest': 6.436081015144305}
"[[0], [2], [3], [2, 0], [], [1, 1, 0, 0, 1], []]",5.92316533709221,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.5903819134177917**0.7370069601346625) * (x[1]**0.590138047584379) * (x[2]),7.3461886175202995,{'errortest': 6.69262094545281}
"[[0], [3], [3], [], [0, 2, 3, 2], [1], [0]]",6.049674113379591,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7269900340989726 * (x[1]**0.581703284947662) * (x[2]),7.48073244033083,{'errortest': 6.823477618715573}
"[[0], [2], [3, 0], [], [], [1], [0, 0, 0]]",6.5151268641832845,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.7111045229884598**0.1620312502541994) * (x[1]**0.5500933305227709) * (x[2]),7.934423152818194,{'errortest': 7.289842563126605}
"[[0], [3], [3], [2, 0], [0, 1, 0, 2], [1, 1, 0, 0, 1], [0, 0]]",7.574284419329996,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7654287020375345 * (x[1]**0.5712744145662411) * (x[2]),9.129267970372124,{'errortest': 8.365756342757152}
