K,Rem,cdrag
0.6,2827.361046560313,2.0350066355883207
0.6,2827.361046560313,2.267297210397291
0.6,2356.4265102663417,2.2796162609831665
0.6,2038.344638838052,2.3786730709530164
0.6,1885.6851531034015,2.250377136503165
0.6,1810.302552956996,2.3059668482519204
0.6,1741.546892663471,2.2928013387344457
0.6,1626.9674258174132,2.2765680272713715
0.6,1560.81716031556,2.1485998356559937
0.6,1540.4712512882777,2.052594645922325
0.6,2827.2708806397027,2.035035350048554
0.6,2827.2708806397027,2.267362660610336
0.6,2356.2912459710706,2.279721386802706
0.6,2038.1691323575892,2.37882744495776
0.6,1885.462659729301,2.250559224255187
0.6,1810.0370004864635,2.306196618771111
0.6,1741.2303405857274,2.293084641601522
0.6,1626.6042602978548,2.276896167762154
0.6,1560.4140176939088,2.148954475444224
0.6,1540.0193359869131,2.052972274466544
0.6,2827.1085883630653,2.035085516402508
0.6,2827.1085883630653,2.267473334403061
0.6,2356.05830682217,2.279899106840411
0.6,2037.8701519616948,2.3790852832460416
0.6,1885.08988481136,2.250871243958597
0.6,1809.5810230106715,2.3065821649176006
0.6,1740.6973147497088,2.2935449728991046
0.6,1626.0129720660543,2.2774388531157816
0.6,1559.747291658797,2.1495489340449705
0.6,1539.263130258366,2.0535995687457427
0.6,2826.901226835664,2.0351513140135435
0.6,2826.901226835664,2.267630133073949
0.6,2355.735231247666,2.280152622178458
0.6,2037.447745494021,2.379444231949582
0.6,1884.572917347146,2.251299031682388
0.6,1808.9578250149905,2.3071227819908664
0.6,1739.953539691581,2.29419699574616
0.6,1625.178229382577,2.278197110688631
0.6,1558.8172796585034,2.1503747747242854
0.6,1538.2128415217692,2.0544780993292227
0.6,2826.6307754035743,2.0352349387253548
0.6,2826.6307754035743,2.2678281423534163
0.6,2355.322051897549,2.280478819430986
0.6,2036.901980533399,2.379911058328352
0.6,1883.8998444867848,2.2518570023677835
0.6,1808.1444897122465,2.307819558360386
0.6,1738.9937064327482,2.295038885936585
0.6,1624.10036234769,2.279178798946169
0.6,1557.614459001571,2.1514413690266982
0.6,1536.8591944855857,2.0556073841826064
0.6,2826.297250011251,2.035338934041905
0.6,2826.297250011251,2.268069854893906
0.6,2354.818810519076,2.280871200081183
0.6,2036.245933518887,2.380478300554884
0.6,1883.082826148608,2.252538207672014
0.6,1807.1527717007775,2.308666161146974
0.6,1737.829216875186,2.2960598313438565
0.6,1622.7953274481258,2.280376702509993
0.6,1556.1493147378587,2.1527488533331027
0.6,1535.202894261549,2.0569943204910017
0.6,2825.9006703189025,2.035463307899881
0.6,2825.9006703189025,2.268359353085023
