K,Rem,frictionFactor
0.6,2795.8743214243827,4.671816839241727
0.6,2795.8743214243827,6.277763169630234
0.6,2310.7320837013167,5.7875798930007
0.6,2795.7762435891173,4.6719085721365605
0.6,2795.7762435891173,6.277976088259861
0.6,2310.5920736049,5.787848509839139
0.6,2795.615759120679,4.672058688280685
0.6,2795.615759120679,6.278312304977141
0.6,2310.3710202401526,5.788292815487723
0.6,2795.401792447265,4.672258858146542
0.6,2795.401792447265,6.278794278411237
0.6,2310.054209555748,5.788923226583504
0.6,2795.1165259787604,4.672525777983697
0.6,2795.1165259787604,6.279410863928781
0.6,2309.6490423347554,5.789739864730715
0.6,2794.7778053366287,4.672842784904069
0.6,2794.7778053366287,6.280150926419288
0.6,2309.162924247767,5.79072220312418
0.6,2794.367823434722,4.673226587679568
0.6,2794.367823434722,6.281048205764848
0.6,2308.5738109443946,5.791901449300571
0.6,2793.904429385141,4.673660527612411
0.6,2793.904429385141,6.282069172775388
0.6,2307.9038553694268,5.793246789986149
0.6,2793.369827994003,4.674161327685052
0.6,2793.369827994003,6.283236398712814
0.6,2307.1384013481525,5.794779169601243
0.6,2792.7729628405123,4.674720681285499
0.6,2792.7729628405123,6.284538816378908
0.6,2306.284889216341,5.79648852176238
0.6,2792.122774835368,4.675330278667936
0.6,2792.122774835368,6.285976593665639
0.6,2305.343405055334,5.798385528565482
0.6,2791.410392998888,4.675998513205462
0.6,2791.410392998888,6.2875386752254805
0.6,2304.3213949175333,5.800460180588472
0.6,2790.62695767242,4.6767337918578535
0.6,2790.62695767242,6.28925898657932
0.6,2303.1969090656594,5.802723243002422
0.6,2789.781420734128,4.677527818189614
0.6,2789.781420734128,6.291115279647559
0.6,2301.9847688045893,5.8051647613987525
0.6,2788.882728580789,4.678372289310376
0.6,2788.882728580789,6.293096533761099
0.6,2300.692437065169,5.80778518417919
0.6,2787.9220324838725,4.679275625547561
0.6,2787.9220324838725,6.295225520553317
0.6,2299.305358686113,5.810595406479416
0.6,2786.8904977911748,4.680246264224714
0.6,2786.8904977911748,6.297491262266692
0.6,2297.8310176350387,5.813585552049469
0.6,2785.805969823364,4.681267542913062
0.6,2785.805969823364,6.299894052728286
0.6,2296.2695619090305,5.816756172390599
0.6,2784.65073344847,4.682356281315514
0.6,2784.65073344847,6.302445498016897
0.6,2294.6138241475364,5.820118300626751
0.6,2783.433747554263,4.68350419228865
0.6,2783.433747554263,6.305134653405623
0.6,2292.871303225325,5.823672595139618
0.6,2782.155083504822,4.684711362511535
0.6,2782.155083504822,6.307973182840137
0.6,2291.0348596170456,5.8274197531788055
0.6,2780.823690313912,4.685969493399738
0.6,2780.823690313912,6.310927512903992
0.6,2289.126618078026,5.831329047895251
0.6,2779.421894398468,4.687295455601293
0.6,2779.421894398468,6.314031972470394
0.6,2287.124828100986,5.835443132201969
0.6,2777.99395830744,4.687995994790287
0.6,2777.99395830744,6.318166583177991
0.6,2284.4719172783707,5.847704485764691
0.6,2776.469343513694,4.689440941043101
0.6,2776.469343513694,6.321550393045626
0.6,2282.298802527873,5.852194707049812
0.6,2774.8834598216813,4.690945639395326
0.6,2774.8834598216813,6.325085686088272
0.6,2280.0328156025234,5.856882000808881
0.6,2773.236399857614,4.692510204045629
0.6,2773.236399857614,6.328772964678425
0.6,2277.674200728506,5.86176729795163
0.6,2771.537107837052,4.694126333596975
0.6,2771.537107837052,6.332578551028053
0.6,2275.245020504897,5.86681976698096
0.6,2769.767982242325,4.695810986056449
0.6,2769.767982242325,6.336559939657987
0.6,2272.70916216947,5.872103973552425
0.6,2767.9379790246,4.69755587524215
0.6,2767.9379790246,6.340660635117608
0.6,2270.1032164508147,5.877557305505995
0.6,2766.056037485808,4.699352695115305
0.6,2766.056037485808,6.344915426774187
0.6,2267.405653990568,5.88321266088741
0.6,2764.1045966231777,4.70121845473872
0.6,2764.1045966231777,6.3493134634077
0.6,2264.624003536597,5.889060495507007
0.6,2762.0926078897432,4.70314486409419
0.6,2762.0926078897432,6.353855329110991
0.6,2261.758539154524,5.895112629219233
0.6,2760.0290040238865,4.705123610751806
0.6,2760.0290040238865,6.358541628344325
0.6,2258.8095427057224,5.901359560071242
0.6,2757.8962674216345,4.7071717590192605
0.6,2757.8962674216345,6.363384498133656
0.6,2255.7700883857947,5.907802487724845
0.6,2755.712147251865,4.709272538635335
0.6,2755.712147251865,6.368361578321169
0.6,2252.654912881395,5.914442653430535
0.6,2753.450358819184,4.711451535573133
0.6,2753.450358819184,6.373508127511624
0.6,2249.442701541055,5.921313737952309
0.6,2751.137444025874,4.71368349264764
0.6,2751.137444025874,6.3787902452496565
0.6,2246.1553875301865,5.928290353787709
0.6,2748.7647325874,4.715977056361146
0.6,2748.7647325874,6.384231760312081
0.6,2242.7789052374037,5.934725683605438
0.6,2746.349916914756,4.718315388981272
0.6,2746.349916914756,6.389798642961991
0.6,2239.335120463743,5.941338821796134
0.6,2743.849241430943,4.7207411999923785
0.6,2743.849241430943,6.395538039349018
0.6,2235.7956702880483,5.948140570017297
0.6,2741.3067311362865,4.7232121308036215
0.6,2741.3067311362865,6.401427553233507
0.6,2232.175256322743,5.955122492317052
0.6,2738.704976700933,4.725745387288866
0.6,2738.704976700933,6.407456313905204
0.6,2228.4813683355887,5.962285803517108
0.6,2736.0266293994696,4.728358252841741
0.6,2736.0266293994696,6.413660161656547
0.6,2224.692944179558,5.969641483230703
0.6,2733.2981117764502,4.731025327573319
0.6,2733.2981117764502,6.420028363245496
0.6,2220.8175298737965,5.977220153110141
0.6,2730.519557338176,4.733746790109524
0.6,2730.519557338176,6.425995640383063
0.6,2217.0600390926606,5.984945212126618
0.6,2727.6736501636383,4.736539969144399
0.6,2727.6736501636383,6.431901046671921
0.6,2213.293746060751,5.992866744711108
0.6,2724.778012047773,4.73938794624699
0.6,2724.778012047773,6.437932202283761
0.6,2209.460438779148,6.0009764015712665
0.6,2721.806655350244,4.742316695125094
0.6,2721.806655350244,6.4441211775414855
0.6,2205.540603230891,6.00928548450009
1.2,2455.7623473939875,2.447635450165377
1.2,2455.7623473939875,2.5880763671637657
1.2,2348.545341512677,2.594200022717182
1.2,2455.6605377285537,2.4476922488454487
1.2,2455.6605377285537,2.588164145035424
1.2,2348.4030403187144,2.5943111637646616
1.2,2455.503914731185,2.4477796365777467
1.2,2455.503914731185,2.588298133267052
1.2,2348.1858583967723,2.5944917882790848
1.2,2455.3003179843377,2.4478932499587422
1.2,2455.3003179843377,2.588478346212232
1.2,2347.8938140400232,2.5947372926815224
1.2,2455.0184393338745,2.4480505782065047
1.2,2455.0184393338745,2.5887232912123315
1.2,2347.4969845050314,2.5950616149941608
1.2,2454.689616917764,2.4482341533907506
1.2,2454.689616917764,2.5890145125600403
1.2,2347.025358279351,2.5954555439588334
1.2,2454.290384680436,2.4484571031315143
1.2,2454.290384680436,2.5893612900839824
1.2,2346.4640072353677,2.595919142943488
1.2,2453.8285990876548,2.448715076045989
1.2,2453.8285990876548,2.589763668410051
1.2,2345.812988064662,2.5964524865602434
1.2,2453.31211599863,2.449003720341775
1.2,2453.31211599863,2.590221699341731
1.2,2345.072366492097,2.5970649424864063
1.2,2452.7331426699784,2.4493274327563173
1.2,2452.7331426699784,2.5907308126559543
1.2,2344.2496949269776,2.597747335816412
1.2,2452.0917180651963,2.4496862410771527
1.2,2452.0917180651963,2.59129106850694
1.2,2343.3450494313875,2.598495130566798
1.2,2451.387885336424,2.4500801761173285
1.2,2451.387885336424,2.59191179996745
1.2,2342.343568902403,2.5993223862840837
1.2,2450.621691817187,2.450509271722025
1.2,2450.621691817187,2.5925838220895083
1.2,2341.260301232028,2.600219949948063
1.2,2449.801003927542,2.450969183830623
1.2,2449.801003927542,2.593307214445251
1.2,2340.095346408681,2.6011926223784383
1.2,2448.9180574509937,2.45146432976408
1.2,2448.9180574509937,2.5940820627585133
1.2,2338.848811892603,2.602231252672441
1.2,2447.965101906899,2.4519991367429537
1.2,2447.965101906899,2.5949223914675086
1.2,2337.49843625682,2.603349988143639
1.2,2446.9656301043,2.452560496603023
1.2,2446.9656301043,2.595809737761892
1.2,2336.0741967909694,2.6045350313854394
1.2,2445.9040842586587,2.4531572231570067
1.2,2445.9040842586587,2.5967488483050927
1.2,2334.568762052382,2.605795906535107
1.2,2444.7727347260475,2.453793758887347
1.2,2444.7727347260475,2.5977444891280426
1.2,2332.974824391825,2.607128155396912
1.2,2443.587261806795,2.454461378662441
1.2,2443.587261806795,2.598796789526408
1.2,2331.2925436386536,2.608536677100811
1.2,2442.339940922427,2.45516452890401
1.2,2442.339940922427,2.5999012242641006
1.2,2329.529524745858,2.6100217167572017
1.2,2441.030855567752,2.455903270382077
1.2,2441.030855567752,2.601067257639156
1.2,2327.6710668636024,2.611578840283314
1.2,2439.660093311586,2.4566776669988086
1.2,2439.660093311586,2.6022810423703198
1.2,2325.7396487969822,2.6132083027673416
1.2,2438.2355282856693,2.457483381538819
1.2,2438.2355282856693,2.6035520609823366
1.2,2323.7205906439744,2.614915076553504
1.2,2436.741686974141,2.4583292897054725
1.2,2436.741686974141,2.6048804795875724
1.2,2321.614093852714,2.6166900380676785
1.2,2435.194229583893,2.459206653080169
1.2,2435.194229583893,2.60626647205935
1.2,2319.420368349827,2.618547614527221
1.2,2433.593246326595,2.4601155384095423
1.2,2433.593246326595,2.6077008399425368
1.2,2317.1544361358983,2.6204787028530494
1.2,2431.923300702961,2.4610648490863327
1.2,2431.923300702961,2.6091931314084547
1.2,2314.8016939404115,2.6224836226138724
1.2,2430.1922779037936,2.4620502573008003
1.2,2430.1922779037936,2.610752944743008
1.2,2312.347598470606,2.624572185790912
1.2,2428.4080480832963,2.463067424610711
1.2,2428.4080480832963,2.6123569848440718
1.2,2309.829340897276,2.626730542209325
1.2,2426.56296497062,2.4641208568517388
1.2,2426.56296497062,2.6140195497254286
1.2,2307.2249848527536,2.628968539418168
1.2,2424.649406522554,2.4652150780326165
1.2,2424.649406522554,2.615740859179028
1.2,2304.5347878601874,2.631281811638808
1.2,2422.690732755876,2.466336887443084
