genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [3], [3, 1], [1, 2], [3, 0], [1, 0, 0], [0, 0]]",4.356490688252153,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9276849475019707 * (x[1]**0.548881780671879) * (x[2]),4.719322229810828,{'errortest': 4.712426725009689}
"[[0], [3], [], [], [], [1, 0], [0]]",4.608140475886597,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.28150237017533986 * (x[1]**0.7010808413967327) * (x[2]),5.56529733803564,{'errortest': 5.122518645269552}
"[[0], [2], [3, 3], [1, 2], [2], [1, 0], [0, 0]]",5.6546961542880325,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.7526412309061221**0.8387179557195094) * (x[1]**0.5855949868789595) * (x[2]),5.3389083249271,{'errortest': 5.693793504995663}
"[[0], [3], [], [], [], [1], []]",8.48467059481035,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7146580778864806 * (x[1]**0.5655481254734787) * (x[2]),8.531661149998762,{'errortest': 8.698943177026537}
"[[0], [0], [3, 3], [0, 1], [2], [1, 1], [0]]",10.547329348939162,"[1, 1, 2, 0, 1, 2, 0]",4,Constant*Constant * (x[1]**Constant) * (x[2]),0.855551607112099*0.275365539791967 * (x[1]**0.7541459243491688) * (x[2]),8.853053157975259,{'errortest': 10.119255065613459}
"[[0], [3], [], [], [], [1], []]",11.375753536946554,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7003705701009288 * (x[1]**0.5576590070508207) * (x[2]),11.126666785385305,{'errortest': 11.491681058179063}
"[[0], [3], [], [], [], [1], []]",12.269590768411199,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4268109694831035 * (x[1]**0.6180786733388373) * (x[2]),12.189071847158434,{'errortest': 12.428183712088856}
"[[0], [0], [3, 0], [0, 1], [0, 3, 0, 0], [0, 1, 1, 0, 1], [0, 0]]",14.700447705333904,"[1, 1, 2, 2, 4, 5, 2]",6,x[0]+Constant/Constant+(x[0]+Constant) * (x[1]**Constant) * (x[2]),x[0]+0.8778974351990969/0.7599035469074223+(x[0]+0.4403673390842081) * (x[1]**0.5023291565469696) * (x[2]),14.280229108861157,{'errortest': 14.95049112859193}
"[[0], [0], [3, 3], [], [2], [1, 0], [0]]",18.830796416127892,"[1, 1, 2, 0, 1, 2, 1]",5,Constant*x[0] * (x[1]**Constant) * (x[2]),0.07172763826640627*x[0] * (x[1]**0.863820350676454) * (x[2]),18.68875553322661,{'errortest': 18.951887141880665}
"[[0], [3], [], [], [], [1], []]",19.41521790255289,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6249300438269076 * (x[1]**0.6479675171831971) * (x[2]),17.136228623172478,{'errortest': 18.816356064263235}
