genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [0, 2], [3, 0, 3], [1, 2, 0, 2], [0, 0, 3, 3, 1, 3, 3], [1, 1, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0]]",0.11554658128331807,"[1, 1, 2, 3, 2, 4, 5, 1]",6,Constant+(Constant+Constant)/Constant/(x[0]**Constant),0.848831369319495+(0.28327529110596583+0.7440338041754702)/0.9533532711117679/(x[0]**0.5618283498307562),0.1333103988078658,{'errortest': 0.14217215648642295}
"[[0], [0], [0, 2], [2, 2, 3], [1, 0, 0], [0, 0, 0, 3, 3, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0], [0, 0]]",0.12561602323838417,"[1, 1, 2, 3, 2, 4, 5, 2]",7,((Constant+x[0])**Constant)+(Constant+Constant**Constant)/(x[0]**Constant),((0.40255593046126814+x[0])**0.24668251048861323)+(0.16988965289488833+0.46422011717568623**0.7006566137610252)/(x[0]**0.8617127827307796),0.16573763074732495,{'errortest': 0.19390574117058967}
"[[0], [0], [0, 2], [2, 2, 3], [1, 0, 0], [0, 0, 0, 3, 3, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0], [0, 0]]",0.13653975647621316,"[1, 1, 2, 3, 2, 4, 5, 2]",7,((Constant+x[0])**Constant)+(Constant+Constant**Constant)/(x[0]**Constant),((0.841538953745438+x[0])**0.061299837042643524)+(0.3721105911440439+0.2746362510576863**0.4836922525163062)/(x[0]**0.7490662018253026),0.14577468065930071,{'errortest': 0.1458023478447959}
"[[0], [0], [2, 0], [2, 3, 3, 1], [0, 0, 0], [0, 0, 3, 3, 1, 3], [1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1]]",0.1513900644464041,"[1, 1, 2, 3, 1, 3, 4, 1]",6,((Constant+Constant**Constant)**Constant)+Constant/x[0],((0.09231264650141191+0.9029715156836223**0.059429375541760865)**0.6972139546037236)+0.7028645254315636/x[0],0.1841552818223587,{'errortest': 0.19304050594362795}
"[[0], [0], [0, 0], [3, 3, 2, 1], [2, 0, 0], [0, 0, 3, 0, 1, 0], [1, 1, 1, 1, 1, 1, 0], [0, 1, 1]]",0.15532074505385013,"[1, 1, 2, 4, 3, 6, 7, 1]",7,Constant+Constant+(Constant**Constant)/(Constant+Constant-Constant+x[0]),0.6721658491084097+0.5840916633730249+(0.3847340669681688**0.3466418501486602)/(0.4499480378640385+0.1516227128550941-0.5655605643668674+x[0]),0.1627200700253171,{'errortest': 0.16111235139055782}
"[[0], [1], [1, 2], [2, 1, 2, 1], [2, 2, 0, 1], [0, 0, 3, 3, 0], [1, 1, 1, 0, 1, 1, 0], [0, 1, 1]]",0.17408656285077592,"[1, 1, 2, 3, 4, 5, 6, 1]",7,(((Constant**Constant)+(Constant+Constant/x[0]))/(((Constant+Constant)**Constant)**Constant)),(((0.553941439863323**0.3736718937340088)+(0.4258641801734252+0.5858245907489938/x[0]))/(((0.3239079030692271+0.9591351338320501)**0.45737121510387435)**0.37129373177339386)),0.21733665600722962,{'errortest': 0.24285897632966505}
"[[0], [0], [2, 0], [2, 3, 3, 1], [0, 0, 0], [0, 0, 3, 3, 1, 3], [1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1]]",0.17746752417976563,"[1, 1, 2, 3, 1, 3, 4, 1]",6,((Constant+Constant**Constant)**Constant)+Constant/x[0],((0.3046505192688158+0.30318305430956605**0.4521132388342606)**0.40138413808061735)+0.8054067943017635/x[0],0.20124061669493737,{'errortest': 0.20061859327901724}
"[[0], [1], [0, 2], [2, 2, 3], [1, 2, 0], [0, 0, 3, 3, 1, 0], [1, 1, 1, 0, 1, 1, 0], [0, 1, 1]]",0.17842397493241668,"[1, 1, 2, 3, 2, 3, 4, 1]",6,(((Constant+Constant)**Constant)+(Constant**Constant)/(x[0]**Constant)),(((0.8576424124839713+0.36421969873269666)**0.6110586197319184)+(0.6480352082538551**0.3063864327833943)/(x[0]**0.4385296618769987)),0.17997074726318604,{'errortest': 0.19227336191995642}
"[[0], [1], [0, 2], [2, 2, 3, 3], [0, 0, 0], [0, 0, 3, 3], [1, 1, 1, 0, 1, 1, 0], [0, 1]]",0.18065314887242723,"[1, 1, 2, 3, 2, 4, 5, 1]",7,((Constant+Constant**Constant)+(Constant/x[0]**Constant)/(Constant**Constant)),((0.33632907620916164+0.12416182089903594**0.33118247939916867)+(0.8643028346218862/x[0]**0.8129738788043551)/(0.6363421415569682**0.4192096206495066)),0.1947631875775246,{'errortest': 0.19141864362425026}
"[[0], [1], [0, 2], [2, 2, 0], [2, 1, 0, 0, 0], [0, 0, 3, 3, 2, 2], [1, 1, 1, 0, 0, 1, 0], [0, 0, 0, 1, 1, 1]]",0.18084123954872366,"[1, 1, 2, 3, 4, 6, 7, 3]",7,((Constant**Constant)+((Constant+Constant)**Constant)/(x[0]/x[0]*Constant*x[0]**Constant)),((0.3086830620207911**0.3120325401409635)+((0.08882572903878505+0.44738348485594615)**0.13419169294449018)/(x[0]/x[0]*0.775986904668307*x[0]**0.7407826572195856)),0.1949695973639889,{'errortest': 0.19030278472707185}
"[[0], [1], [2, 0], [2, 1, 2, 1], [0, 0, 0, 0], [0, 0, 3, 3, 0, 3, 0], [1, 1, 1, 0, 0, 0, 0, 1], [0, 1, 1, 1]]",0.31919347385978186,"[1, 1, 2, 3, 4, 7, 8, 4]",7,(((Constant+Constant**Constant)**Constant)+(Constant/x[0]/x[1]+x[1])/(x[1]+Constant**Constant)),(((0.42223447798585967+0.5330813689630901**0.6573497261555494)**0.40946356185963695)+(0.2918941527515606/x[0]/x[1]+x[1])/(x[1]+0.2852257603876539**0.618072985664292)),0.3277885994817275,{'errortest': 0.35782838549223034}
