genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [1], [0, 3], [1, 3, 0], [1, 1], [3, 3, 0, 3, 3], [1, 1, 1, 1, 0, 1], [0]]",0.3034539513306322,"[1, 1, 2, 2, 2, 5, 6, 1]",6,(((Constant/Constant)/(Constant+Constant))/x[0]/Constant),(((0.5982871490056922/0.47962574436040384)/(0.3869586069470311+0.18948392034917227))/x[0]/0.6866955183920599),0.3559144391719583,{'errortest': 0.3215514520949468}
"[[0], [0], [3, 0], [3, 2], [1, 0], [3, 0, 3, 3], [1, 1, 1, 1], []]",0.4592578018765322,"[1, 1, 2, 2, 1, 3, 4, 0]",6,Constant/Constant+((Constant/Constant)**Constant),0.9695204294151342/0.5301504430885213+((0.31282376565033476/0.32207195220174767)**0.2985981664693177),0.4658395921908748,{'errortest': 0.5105059797684129}
"[[0], [2], [2], [0], [1, 2], [3, 0, 3, 3], [1, 1, 1, 0], [0, 1]]",0.5082004744531353,"[1, 1, 1, 1, 2, 2, 3, 0]",6,(((Constant/Constant)+Constant**Constant)**Constant),(((0.9321574847472217/0.2848336001631374)+0.4223633987690164**0.4185594586255337)**0.6673347725319082),0.5748374842427575,{'errortest': 0.5683353357183423}
"[[0], [2], [0, 3], [2, 2], [1, 2], [0, 0, 1], [1, 1, 1, 1, 0], [1, 0]]",0.5565004887514842,"[1, 1, 1, 2, 2, 2, 3, 0]",6,(((Constant+Constant)**Constant)+(Constant**Constant)**Constant),(((0.9892548334541628+0.6163531028799023)**0.7966478726480862)+(0.7206628403329317**0.7819953145816088)**0.16473160877909865),0.6336804790841926,{'errortest': 0.6155571607150002}
"[[0], [2], [2], [0, 0], [2, 0, 0, 0], [3, 0, 0, 0, 0, 1], [0, 1, 0, 1, 0, 0, 1], [0, 1, 0]]",0.5669828013455843,"[1, 1, 1, 1, 2, 2, 3, 2]",7,((x[0]/Constant+x[1]**Constant)**Constant),((x[0]/0.5015240592797021+x[1]**0.07827506295955389)**0.637873745094567),0.6305538248891238,{'errortest': 0.6377817844951147}
"[[0], [1], [2, 3], [3], [1, 0], [3, 0, 3, 3], [1, 1, 1, 1], [0]]",0.5996286692387143,"[1, 1, 2, 1, 0, 1, 2, 0]",5,((Constant**Constant)/Constant),((0.8242862769622809**0.44995298306670695)/0.2924577814501268),0.5465836091622251,{'errortest': 0.6277185367933191}
"[[0], [1], [2, 0], [3, 0, 2], [2, 2, 0], [3, 0, 3, 3], [0, 1, 1, 0, 0], [0, 1, 1, 0]]",0.6226312760579433,"[1, 1, 2, 3, 3, 4, 5, 3]",7,((x[0]**Constant)/Constant+Constant/(x[1]/x[1]**Constant)),((x[0]**0.3563077659040238)/0.34584524894170765+0.7836385316399611/(x[1]/x[1]**0.15466463145471232)),0.5846345024306627,{'errortest': 0.6693160795338126}
"[[0], [2], [2], [1, 0], [2, 2], [0, 2, 0], [0, 0, 0], [1, 0, 0]]",0.6340031523127255,"[1, 1, 1, 1, 2, 1, 2, 2]",7,(((x[1]+x[0])**Constant)**Constant),(((x[1]+x[0])**0.4547131751825003)**0.23535569709803061),0.7303102949676289,{'errortest': 0.6920636956542083}
"[[0], [1], [0, 0], [3, 0, 0, 2], [2, 1, 1, 2, 0], [3, 2, 3, 3, 0, 3, 3, 2], [0, 1, 1, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0]]",0.6370392759061888,"[1, 1, 2, 4, 5, 8, 9, 3]",7,(x[1]/Constant*(Constant/x[0])/(Constant+Constant)/x[1]/(Constant*Constant**Constant)),(x[1]/0.7764385844047406*(0.7300396532324045/x[0])/(0.3949543183371448+0.9408159177519023)/x[1]/(0.3748616915969578*0.3601006270605134**0.7160523743998638)),0.5443128665134387,{'errortest': 0.6356787269534183}
"[[0], [2], [1], [2, 2], [2, 2], [0], [0, 1], [1, 0]]",0.6376740859756037,"[1, 1, 1, 2, 2, 1, 2, 1]",7,(((x[1]**Constant)+(Constant**Constant))**Constant),(((x[1]**0.4426868298691288)+(0.45729377164103235**0.6753931476454681))**0.23951757912262228),0.7345955460559378,{'errortest': 0.6957305317682644}
"[[0], [0], [3, 3], [0, 0], [1, 0], [0], [0, 0], [0, 0]]",0.7111680605411982,"[1, 1, 2, 0, 0, 1, 2, 2]",5,x[0]+x[0],x[0]+x[0],0.7774513445298122,{'errortest': 0.7970156250616817}
"[[0], [2], [2, 3], [1, 0], [1, 0], [2, 2, 0], [0, 0, 0, 1], [1, 0, 0]]",0.7139340095373963,"[1, 1, 1, 1, 2, 3, 4, 3]",7,((((x[1]*x[0])*x[0]+Constant)**Constant)**Constant),((((x[1]*x[0])*x[0]+0.5795107587196565)**0.5450418612362841)**0.2454744584780778),0.6714006060603213,{'errortest': 0.748608836377675}
"[[0], [1], [0, 3], [2, 3], [1, 1, 0, 2], [2, 0, 3, 3], [0, 0, 0, 1], [1, 0, 0]]",0.7276049500115042,"[1, 1, 2, 2, 1, 3, 4, 3]",7,(((x[1]*x[0])**Constant)+x[0]/Constant),(((x[1]*x[0])**0.006163813082351477)+x[0]/0.5626453811095844),0.6824587388835646,{'errortest': 0.7779531863197203}
"[[0], [1], [0, 3], [1, 2, 0], [1, 1, 0], [3, 3, 0, 3, 1, 0], [0, 1, 1, 1, 0, 1, 1], [0, 0]]",0.7497408369866407,"[1, 1, 2, 2, 3, 6, 7, 2]",7,(((x[0]/Constant)/(Constant+Constant))/(x[0]-Constant**Constant)+Constant),(((x[0]/0.7405625531155403)/(0.9058798307302288+0.620278329006621))/(x[0]-0.4014587119404286**0.4825539150914224)+0.05040150272869359),0.8626398526123394,{'errortest': 0.7602567898051337}
"[[0], [2], [0, 3], [2, 2], [2, 0], [0, 0, 1], [1, 1, 1, 1, 0], [1, 0]]",0.7868380889739011,"[1, 1, 1, 2, 2, 2, 3, 0]",6,((Constant**Constant)+(Constant+Constant**Constant)**Constant),((0.48465415297923853**0.05828337174526055)+(0.5427952331169434+0.4864687632259752**0.4507374247316206)**0.5510744441604598),0.8825965564581257,{'errortest': 0.8389328212502395}
"[[0], [0], [3, 0], [2, 1, 2], [2, 0, 2, 0, 1, 0, 0], [1, 0, 3, 3], [1, 1, 0, 1, 1], [0]]",0.8063418849236155,"[1, 1, 2, 2, 3, 4, 5, 1]",7,Constant-(Constant**Constant)+(x[0]/Constant/Constant),0.20768640249494708-(0.9790827298989346**0.4217049237708185)+(x[0]/0.8387997571941015/0.46276357565130677),0.8762530819676345,{'errortest': 0.8979880022825252}
"[[0], [2], [2], [1, 0], [2, 2], [0, 2], [0, 0, 0], [1, 0]]",0.9146007869244823,"[1, 1, 1, 1, 2, 1, 2, 2]",7,(((x[1]+x[0])**Constant)**Constant),(((x[1]+x[0])**0.5724719182114164)**0.2647634252295529),0.818207540319135,{'errortest': 0.9195869094429355}
"[[0], [2], [2], [3], [], [0], [0, 1], [1, 0]]",0.9925091382362357,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.48313379788083655)**0.1609779091769945),1.106817627111391,{'errortest': 1.0426058301549186}
"[[0], [2], [2], [3, 1], [1, 2], [0, 2, 0], [0, 0, 1, 0, 1, 0, 1, 0], [1, 0, 0]]",1.0064482073751249,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.7749815608458663)**0.09895173174634597),1.120780251604217,{'errortest': 1.0562385371725527}
"[[0], [2], [2], [0, 0], [2, 1, 0, 0], [0, 0, 2], [0, 1, 1, 0], [0, 1, 0]]",1.2832446447290065,"[1, 1, 1, 1, 2, 2, 3, 1]",7,((x[0]+(Constant+Constant)**Constant)**Constant),((x[0]+(0.28043118056218597+0.06560819668218021)**0.44470128543160214)**0.7486189711781329),1.3851622361490312,{'errortest': 1.3333595897721946}
"[[0], [1], [2, 3], [3], [1, 0], [3, 2, 2, 3], [1, 1, 1, 0, 0, 1], [0]]",1.2895915717593336,"[1, 1, 2, 1, 0, 1, 2, 0]",5,((Constant**Constant)/Constant),((0.6562819167498231**0.4862089788023505)/0.53140630066559),1.3938619423715823,{'errortest': 1.3323050309140279}
"[[0], [0], [0, 3], [2, 3, 1, 2], [2, 2], [3, 3, 0, 0], [1, 0, 1, 1], [0, 1]]",1.3466502731098173,"[1, 1, 2, 2, 1, 2, 3, 1]",6,(Constant**Constant)/x[0]/Constant,(0.5651527388814374**0.9163847748164546)/x[0]/0.34905539295840593,1.4554430936413392,{'errortest': 1.3716110830403856}
"[[0], [2], [0, 3], [2, 2], [1, 2], [0, 0, 1], [0, 1, 0, 1, 0], [1, 0]]",1.4500627884519413,"[1, 1, 1, 2, 2, 2, 3, 2]",7,(((x[1]+Constant)**Constant)+(x[0]**Constant)**Constant),(((x[1]+0.8808756574930936)**0.13153276849994044)+(x[0]**0.9473193213376258)**0.8717965390448896),1.3296097523895556,{'errortest': 1.4451343855585022}
"[[0], [2], [1], [3, 0], [2, 1, 1, 2, 0], [3, 0, 3, 3], [1, 1, 1, 0, 1, 1, 0, 1, 1], [0, 0, 1]]",1.4850088214302362,"[1, 1, 1, 2, 2, 3, 4, 1]",7,((Constant/Constant+(Constant/x[0]))**Constant),((0.912692887409615/0.7965471838029137+(0.5539549679713319/x[0]))**0.5807829695414177),1.5909582603520704,{'errortest': 1.5228228560935382}
"[[0], [1], [2, 3], [1, 3, 0], [1, 2], [3, 3, 3, 3, 3], [1, 1, 1, 1, 0, 1], [0, 0]]",1.4967867130138526,"[1, 1, 2, 1, 2, 3, 4, 0]",6,((((Constant/Constant)/Constant)**Constant)/Constant),((((0.12450549800332789/0.5633321421597424)/0.1855054027506825)**0.8845584230232327)/0.8884311252334245),1.6021209647004786,{'errortest': 1.5371953680408361}
"[[0], [2], [0, 3], [3, 2], [2, 0, 2, 0, 1, 0, 0], [3, 2, 2, 3], [0, 1, 1, 1, 1, 0, 0], [0]]",1.5199419329215427,"[1, 1, 1, 2, 1, 1, 2, 1]",6,(x[0]/(Constant**Constant)**Constant),(x[0]/(0.48678451281915813**0.30561215512185846)**0.4771412826327981),1.62193531908402,{'errortest': 1.5714399836819855}
"[[0], [2], [1], [3, 2], [2, 2], [3, 3, 3, 1, 2], [1, 1, 1, 1], [0, 0, 1]]",1.5357085361231881,"[1, 1, 1, 2, 1, 1, 2, 0]",6,((Constant/(Constant**Constant))**Constant),((0.5649071428798437/(0.2389148816525145**0.5791092748801381))**0.9369033076856234),1.6411874923313816,{'errortest': 1.5757455311853443}
"[[0], [1], [0, 0], [3, 0, 0, 2], [2, 1, 1, 2, 0], [3, 2, 3, 3, 0, 3, 3, 2], [0, 1, 1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 0]]",1.5412851369079852,"[1, 1, 2, 4, 5, 8, 9, 4]",7,(x[1]/Constant*(Constant/x[0])/(Constant+x[1])/x[0]/(Constant*Constant**Constant)),(x[1]/0.8390412340871771*(0.9218461053136725/x[0])/(0.29347799945212516+x[1])/x[0]/(0.7833036451826162*0.7672848221101947**0.6975680059080756)),1.6531761238972935,{'errortest': 1.5518865294422677}
"[[0], [2], [1, 1], [3, 3], [2, 1, 0], [0, 1, 3, 3, 3, 2], [0, 1], [0, 0, 1]]",1.6125851156093098,"[1, 1, 1, 2, 0, 1, 2, 1]",6,((x[0]+Constant)**Constant),((x[0]+0.03225230815762559)**0.9884048078745921),1.7154669731052312,{'errortest': 1.6615708525535706}
"[[0], [2], [2, 1], [2, 3], [1, 2], [3, 0, 0, 3], [1, 1, 1, 1, 0], [0, 1]]",1.613453023895979,"[1, 1, 1, 1, 1, 1, 2, 0]",6,((((Constant/Constant)**Constant)**Constant)**Constant),((((0.4898923280614581/0.05933924314391126)**0.847901010341391)**0.3093155227872568)**0.31762446200808414),1.7191836650770491,{'errortest': 1.652795607439485}
"[[0], [3], [1], [], [1, 2], [0, 0, 1], [0], [0]]",1.6407221442785598,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.743688452260539,{'errortest': 1.6894867897954304}
"[[0], [3], [], [], [], [0], [0, 1], [0]]",1.6407221442785598,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.743688452260539,{'errortest': 1.6894867897954304}
"[[0], [3], [2, 3], [0, 0], [1, 2], [0], [0, 1], [0]]",1.6407221442785598,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.743688452260539,{'errortest': 1.6894867897954304}
"[[0], [3], [3, 2], [3], [0, 0, 1, 2], [0, 0, 2, 0, 1, 3], [0, 1], [0, 0]]",1.6407221442785598,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.743688452260539,{'errortest': 1.6894867897954304}
"[[0], [3], [0, 1], [0, 3], [2, 0, 0, 0], [3], [0, 1], [0, 1, 0]]",1.6407221442785598,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.743688452260539,{'errortest': 1.6894867897954304}
"[[0], [3], [2], [0], [1, 2], [2, 0, 0, 0, 0, 1], [0, 1, 1, 1, 1, 0, 0], [0, 1]]",1.6407221442785598,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.743688452260539,{'errortest': 1.6894867897954304}
"[[0], [3], [1, 3], [], [1, 1, 0, 2], [3], [0, 1, 1, 1, 0, 0, 1], [0, 1, 0]]",1.6407221442785598,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.743688452260539,{'errortest': 1.6894867897954304}
"[[0], [0], [3, 0], [1, 3, 0], [1, 0], [1, 0, 3, 2, 3], [0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 1]]",1.643460883799606,"[1, 1, 2, 2, 2, 5, 6, 4]",7,x[0]-((Constant+x[0])/Constant*x[0])/x[1],x[0]-((0.7456201921904767+x[0])/0.2881654017740978*x[0])/x[1],1.7467420894228924,{'errortest': 1.692189994462486}
"[[0], [2], [3], [0], [], [3, 0, 3, 3], [0, 1, 1, 1], [0]]",1.6676297792589163,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.839918149565195),1.7712161548106917,{'errortest': 1.7145358653225173}
"[[0], [2], [2], [0], [2, 2], [0, 0, 2], [1, 1, 1, 0], [1, 0, 0]]",1.6989521284376978,"[1, 1, 1, 1, 2, 1, 2, 0]",6,((Constant+Constant**Constant)**Constant),((0.6581954045886032+0.2756604590582248**0.4653628455226121)**0.5224218607418712),1.8049118774680837,{'errortest': 1.737597118701381}
"[[0], [0], [3, 3], [0], [], [3, 0, 3, 3], [1, 1, 1, 0], [0]]",1.7577148900026458,"[1, 1, 2, 0, 0, 1, 2, 0]",4,Constant/Constant,0.6287019681154271/0.6030794485026154,1.863808408602242,{'errortest': 1.7959160733140025}
"[[0], [2], [2], [0], [0, 1, 1, 2], [0, 0, 0], [1, 1, 1, 1], [0, 0]]",1.7736761986937648,"[1, 1, 1, 1, 2, 3, 4, 0]",6,((Constant+Constant+(Constant+Constant)**Constant)**Constant),((0.5068147410266354+0.6642636040780461+(0.0991779234891782+0.6007144432430567)**0.763643756609154)**0.038919703327366495),1.879803158627447,{'errortest': 1.8117614451973076}
"[[0], [2], [2], [2, 3, 2, 0], [2, 1, 0], [3, 0, 3, 3], [0, 1, 0, 0, 1, 1, 0], [0, 1]]",1.7887130115543435,"[1, 1, 1, 1, 1, 0, 1, 1]",7,(((x[0]**Constant)**Constant)**Constant),(((x[0]**0.23033492360960872)**0.6292443096713449)**0.47480433107874676),1.894710182421603,{'errortest': 1.8273196829650629}
"[[0], [2], [2], [2, 0], [2, 2], [0, 2, 0], [1, 0, 0], [1, 0, 0]]",1.8263220660584019,"[1, 1, 1, 1, 1, 0, 1, 0]",6,(((Constant**Constant)**Constant)**Constant),(((0.45301282151234723**0.09444114273255866)**0.5273722970262203)**0.7310273777805818),1.9325514606586602,{'errortest': 1.8640380054878665}
